Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-03-01 20:19:33.298824,149,81,761,-801.54,213.99,514.47,8505.00,4445.00,8032.50
2024-03-01 20:19:33.304136,149,81,567,-796.42,213.99,503.13,1942.50,-8382.50,11287.50
2024-03-01 20:19:33.315421,150,81,522,-797.39,216.55,495.56,1452.50,-17360.00,10832.50
2024-03-01 20:19:33.326451,150,81,0,-804.83,221.92,493.86,7262.50,-14875.00,7332.50
2024-03-01 20:19:33.333152,151,81,481,-816.30,228.14,488.24,3062.50,-10867.50,-1750.00
2024-03-01 20:19:33.344486,151,81,474,-827.40,226.55,479.95,4427.50,-8260.00,-6685.00
2024-03-01 20:19:33.349799,151,82,468,-834.48,216.43,470.68,8312.50,-5845.00,-5092.50
2024-03-01 20:19:33.361140,151,82,474,-840.82,208.62,462.50,1400.00,-8557.50,385.00
2024-03-01 20:19:33.372020,151,82,450,-849.00,199.84,462.01,-1697.50,-4200.00,-1470.00
2024-03-01 20:19:33.382187,151,82,0,-856.68,187.51,465.55,5215.00,4235.00,2607.50
2024-03-01 20:19:33.386239,151,82,450,-863.27,184.95,465.92,12092.50,9205.00,1820.00
2024-03-01 20:19:33.398805,149,83,443,-867.42,190.20,463.60,18742.50,11112.50,-4375.00
2024-03-01 20:19:33.403952,147,83,0,-869.49,197.15,462.38,21402.50,13300.00,-9905.00
2024-03-01 20:19:33.415646,144,83,432,-869.13,203.74,463.36,21332.50,15032.50,-12670.00
2024-03-01 20:19:33.428428,139,83,425,-866.20,211.43,466.41,23152.50,17097.50,-13055.00
2024-03-01 20:19:33.436975,132,83,417,-862.42,218.38,468.24,22680.00,19180.00,-13457.50
2024-03-01 20:19:33.441888,126,82,424,-859.86,219.36,467.99,19512.50,18987.50,-11637.50
2024-03-01 20:19:33.453126,118,81,440,-857.90,215.57,469.21,19040.00,18935.00,-6965.00
2024-03-01 20:19:33.459104,109,80,424,-855.34,213.26,470.55,23135.00,19530.00,-2712.50
2024-03-01 20:19:33.472271,104,79,426,-851.68,214.84,468.48,20457.50,16642.50,-1715.00
2024-03-01 20:19:33.477878,95,78,430,-847.53,216.92,466.04,17745.00,12022.50,-997.50
2024-03-01 20:19:33.490380,87,76,444,-843.51,219.60,464.33,17395.00,7910.00,175.00
2024-03-01 20:19:33.495830,81,74,441,-839.73,224.85,463.48,16380.00,3430.00,-262.50
2024-03-01 20:19:33.509024,74,72,434,-836.92,231.07,464.09,13300.00,1032.50,-1225.00
2024-03-01 20:19:33.514166,71,71,443,-836.07,235.22,464.58,12145.00,437.50,-2677.50
2024-03-01 20:19:33.525523,67,71,434,-836.92,234.24,463.72,9992.50,52.50,-2345.00
2024-03-01 20:19:33.532317,66,69,441,-838.87,229.97,462.14,10115.00,-52.50,-227.50
2024-03-01 20:19:33.544625,65,72,0,-841.31,227.53,459.82,13352.50,122.50,507.50
2024-03-01 20:19:33.550285,66,69,432,-843.75,228.14,455.30,12950.00,-962.50,-2047.50
2024-03-01 20:19:33.561132,66,69,435,-846.07,228.63,450.67,12215.00,-3115.00,-4287.50
2024-03-01 20:19:33.567681,68,69,432,-847.66,227.29,447.50,11742.50,-4445.00,-4532.50
2024-03-01 20:19:33.579242,70,69,428,-848.63,226.43,446.40,10640.00,-4585.00,-3097.50
2024-03-01 20:19:33.584463,74,69,427,-849.12,227.41,447.37,7087.50,-3010.00,-1977.50
2024-03-01 20:19:33.595163,80,69,397,-849.73,229.85,448.35,4147.50,-1400.00,-1487.50
2024-03-01 20:19:33.608541,86,69,425,-850.10,233.75,448.35,1067.50,-437.50,-1785.00
2024-03-01 20:19:33.612716,92,71,422,-850.10,238.39,448.47,-1610.00,280.00,-2852.50
2024-03-01 20:19:33.625506,101,71,413,-850.46,242.66,449.57,-3482.50,1540.00,-4287.50
2024-03-01 20:19:33.632486,110,71,0,-851.32,247.42,449.33,-8750.00,2747.50,-6142.50
2024-03-01 20:19:33.644617,120,73,423,-851.80,250.10,447.50,-12582.50,2730.00,-8242.50
2024-03-01 20:19:33.653675,129,75,421,-852.29,249.61,446.76,-13632.50,2275.00,-7980.00
2024-03-01 20:19:33.657266,138,77,419,-853.51,249.12,446.03,-12635.00,2782.50,-8557.50
2024-03-01 20:19:33.669496,146,80,411,-854.49,248.15,445.18,-9117.50,2887.50,-9082.50
2024-03-01 20:19:33.675380,153,82,418,-854.61,246.68,445.06,-4602.50,3360.00,-8610.00
2024-03-01 20:19:33.688388,158,84,415,-854.12,245.71,445.06,-1820.00,3482.50,-8102.50
2024-03-01 20:19:33.693627,162,87,423,-854.00,246.32,445.30,-1400.00,3640.00,-8207.50
2024-03-01 20:19:33.706355,166,89,419,-854.49,245.71,446.03,-5075.00,4445.00,-8732.50
2024-03-01 20:19:33.711968,168,91,423,-855.22,240.22,446.15,-8015.00,4987.50,-7157.50
2024-03-01 20:19:33.725257,170,93,429,-856.32,232.53,446.52,-5582.50,5775.00,-4305.00
2024-03-01 20:19:33.729981,170,94,421,-858.15,225.21,446.89,-2922.50,7332.50,-1067.50
2024-03-01 20:19:33.741852,170,97,414,-859.61,219.11,446.76,2082.50,9642.50,2345.00
2024-03-01 20:19:33.747775,169,100,396,-860.59,217.89,445.91,5250.00,9992.50,3885.00
2024-03-01 20:19:33.760390,167,101,418,-861.81,221.80,447.01,5320.00,11777.50,1785.00
2024-03-01 20:19:33.766725,164,103,408,-862.05,224.24,450.55,9467.50,16117.50,857.50
2024-03-01 20:19:33.778839,160,106,412,-860.83,225.70,450.67,11182.50,17710.00,1855.00
2024-03-01 20:19:33.784682,154,109,415,-859.49,228.26,447.01,7717.50,14997.50,1592.50
2024-03-01 20:19:33.797175,148,110,0,-858.76,227.90,445.06,8715.00,13440.00,2030.00
2024-03-01 20:19:33.803105,140,117,402,-858.39,225.82,444.32,14262.50,14927.50,4777.50
2024-03-01 20:19:33.816095,133,119,407,-858.15,225.70,442.49,22050.00,14577.50,6037.50
2024-03-01 20:19:33.821144,128,122,0,-858.15,229.73,439.69,34370.00,12600.00,1907.50
2024-03-01 20:19:33.834815,123,125,0,-858.39,230.82,440.30,41352.50,9835.00,-4777.50
2024-03-01 20:19:33.842619,119,128,390,-859.12,222.77,448.23,47897.50,14017.50,-2660.00
2024-03-01 20:19:33.847110,115,130,402,-862.78,235.58,443.47,44887.50,16957.50,-7962.50
2024-03-01 20:19:33.857119,110,133,420,-870.10,268.77,418.09,18567.50,262.50,-43452.50
2024-03-01 20:19:33.868993,108,134,409,-882.43,284.75,399.06,14525.00,-12477.50,-74707.50
2024-03-01 20:19:33.875995,106,135,416,-895.11,285.97,389.91,37800.00,-13370.00,-98402.50
2024-03-01 20:19:33.886910,104,136,414,-903.17,274.62,387.84,54162.50,-11427.50,-116200.00
2024-03-01 20:19:33.893225,104,136,410,-905.85,249.86,396.38,82145.00,1837.50,-109410.00
2024-03-01 20:19:33.906030,103,138,0,-899.87,227.16,400.16,78610.00,11760.00,-83387.50
2024-03-01 20:19:33.912015,103,135,409,-887.43,202.03,400.16,51380.00,13090.00,-44922.50
2024-03-01 20:19:33.924660,102,135,0,-875.84,174.09,403.58,24430.00,14507.50,3762.50
2024-03-01 20:19:33.930069,102,133,421,-867.54,129.93,415.78,18497.50,21840.00,49437.50
2024-03-01 20:19:33.943336,101,131,417,-860.83,76.62,428.34,43750.00,39322.50,109025.00
2024-03-01 20:19:33.951130,101,129,393,-855.95,52.95,424.19,50592.50,46620.00,144427.50
2024-03-01 20:19:33.956332,101,125,419,-855.46,57.34,409.68,48860.00,45150.00,149467.50
2024-03-01 20:19:33.965622,101,122,0,-860.71,74.79,389.18,41947.50,41527.50,136937.50
2024-03-01 20:19:33.974351,101,120,421,-870.59,106.38,357.95,11077.50,28192.50,113942.50
2024-03-01 20:19:33.986880,101,118,0,-883.40,142.01,327.08,-31307.50,11357.50,80657.50
2024-03-01 20:19:33.991762,101,117,416,-896.94,158.48,306.83,-52587.50,-700.00,59115.00
2024-03-01 20:19:34.005131,102,113,0,-914.02,161.16,284.14,-59517.50,-11952.50,54477.50
2024-03-01 20:19:34.012468,102,115,412,-963.07,139.69,230.58,-45727.50,-48877.50,67987.50
2024-03-01 20:19:34.023274,102,115,0,-1040.29,89.06,149.57,5932.50,-131127.50,122797.50
2024-03-01 20:19:34.029318,102,116,412,-1103.00,51.73,84.91,32025.00,-214707.50,191642.50
2024-03-01 20:19:34.039868,102,115,413,-1133.14,45.63,46.73,30870.00,-272947.50,240432.50
2024-03-01 20:19:34.046530,102,116,416,-1126.30,49.65,27.57,20737.50,-313740.00,269167.50
2024-03-01 20:19:34.058571,102,119,0,-1080.92,61.24,40.26,23975.00,-320775.00,279247.50
2024-03-01 20:19:34.065598,102,117,412,-1004.43,103.21,81.74,31867.50,-294945.00,251142.50
2024-03-01 20:19:34.076847,102,118,0,-912.32,184.71,140.91,37607.50,-248500.00,177537.50
2024-03-01 20:19:34.084155,103,123,0,-818.25,274.26,207.52,32707.50,-192045.00,83772.50
2024-03-01 20:19:34.095360,104,126,426,-734.93,330.50,269.50,30222.50,-143377.50,18952.50
2024-03-01 20:19:34.101157,104,129,412,-667.83,351.85,322.32,30117.50,-109970.00,-297.50
2024-03-01 20:19:34.113556,104,133,424,-614.39,361.00,367.71,24745.00,-88795.00,6632.50
