Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-03-01 20:17:48.436738,152,87,504,-775.68,332.08,546.56,6720.00,-7000.00,-22242.50
2024-03-01 20:17:48.442075,153,87,503,-775.68,328.18,551.20,-4725.00,507.50,-16730.00
2024-03-01 20:17:48.454144,154,87,498,-776.53,335.13,542.78,-25970.00,4830.00,-11847.50
2024-03-01 20:17:48.461438,155,87,496,-777.02,334.77,538.02,-50382.50,2100.00,-10710.00
2024-03-01 20:17:48.473276,156,88,475,-778.12,304.63,556.44,-18585.00,20930.00,19827.50
2024-03-01 20:17:48.479370,156,87,0,-777.14,270.84,576.57,9782.50,47425.00,58082.50
2024-03-01 20:17:48.492383,156,87,455,-770.80,251.56,580.72,30590.00,61442.50,88462.50
2024-03-01 20:17:48.498356,155,87,461,-761.89,248.39,571.81,34300.00,61145.00,102655.00
2024-03-01 20:17:48.510106,154,86,435,-754.45,259.13,554.98,28507.50,52360.00,103530.00
2024-03-01 20:17:48.516595,152,85,418,-750.91,274.87,537.65,2695.00,37537.50,93030.00
2024-03-01 20:17:48.527555,147,85,425,-752.01,285.60,529.48,-8487.50,28420.00,83317.50
2024-03-01 20:17:48.533742,142,83,424,-759.33,299.14,522.28,-11112.50,19687.50,64680.00
2024-03-01 20:17:48.546155,134,81,428,-771.53,312.69,511.67,-9135.00,4550.00,33477.50
2024-03-01 20:17:48.551903,129,79,426,-780.07,299.14,517.52,12372.50,-2362.50,14717.50
2024-03-01 20:17:48.564393,121,77,434,-783.00,292.31,519.11,38675.00,-787.50,18917.50
2024-03-01 20:17:48.570822,114,74,431,-786.66,318.66,501.79,17745.00,-21892.50,-9362.50
2024-03-01 20:17:48.583253,108,72,427,-791.17,340.38,492.88,3902.50,-36872.50,-37695.00
2024-03-01 20:17:48.591821,101,68,437,-794.34,354.41,489.95,5180.00,-44940.00,-57312.50
2024-03-01 20:17:48.596872,95,65,428,-797.51,375.03,480.56,-3570.00,-58310.00,-84735.00
