Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-03-01 20:14:34.855926,163,103,543,-739.08,191.66,614.76,14297.50,-2712.50,8820.00
2024-03-01 20:14:34.861246,164,102,510,-735.17,199.35,620.98,11567.50,-2555.00,7997.50
2024-03-01 20:14:34.874607,164,103,483,-731.76,205.94,627.45,10745.00,-927.50,5757.50
2024-03-01 20:14:34.879634,164,102,492,-730.05,210.33,631.59,11042.50,437.50,5530.00
2024-03-01 20:14:34.892093,164,101,483,-729.93,213.74,633.67,11742.50,1732.50,5110.00
2024-03-01 20:14:34.896858,163,101,0,-731.02,216.67,633.55,11917.50,2957.50,4637.50
2024-03-01 20:14:34.904622,161,100,468,-733.10,220.58,630.98,9677.50,3167.50,3500.00
2024-03-01 20:14:34.917817,158,99,443,-735.90,225.82,626.59,7297.50,2502.50,612.50
2024-03-01 20:14:34.923396,153,97,442,-738.83,231.07,621.47,5267.50,1190.00,-3535.00
2024-03-01 20:14:34.935941,147,90,0,-741.27,234.00,617.08,3307.50,-157.50,-6912.50
2024-03-01 20:14:34.939985,141,94,438,-742.86,235.22,614.15,3447.50,-805.00,-7927.50
2024-03-01 20:14:34.953550,135,92,425,-743.47,236.44,612.32,822.50,-840.00,-7892.50
2024-03-01 20:14:34.958905,127,88,0,-743.22,238.14,611.83,157.50,-507.50,-6895.00
2024-03-01 20:14:34.970495,119,86,0,-743.35,240.10,612.07,-2222.50,315.00,-6440.00
2024-03-01 20:14:34.982103,110,83,448,-743.59,240.10,610.98,-3570.00,455.00,-6160.00
2024-03-01 20:14:34.988665,103,88,0,-743.96,237.17,608.78,-4392.50,-210.00,-4357.50
2024-03-01 20:14:35.001301,96,78,442,-744.69,233.75,606.83,-4445.00,-822.50,-2065.00
2024-03-01 20:14:35.009449,90,68,0,-745.66,231.92,606.22,-2642.50,-857.50,-822.50
2024-03-01 20:14:35.013462,85,73,434,-746.40,230.82,606.71,-2765.00,-332.50,-332.50
2024-03-01 20:14:35.026289,82,72,443,-746.88,229.73,607.32,-1400.00,210.00,402.50
2024-03-01 20:14:35.031152,80,73,0,-747.25,229.36,607.68,-997.50,647.50,1207.50
2024-03-01 20:14:35.041655,79,71,447,-747.49,230.82,607.68,-3132.50,1050.00,1067.50
2024-03-01 20:14:35.053769,79,70,443,-747.62,233.75,607.19,-6317.50,1120.00,332.50
2024-03-01 20:14:35.057913,79,70,436,-748.59,237.78,606.34,-9957.50,1207.50,-1172.50
2024-03-01 20:14:35.072275,79,70,440,-750.06,239.97,607.19,-13912.50,2292.50,-2677.50
2024-03-01 20:14:35.077904,80,71,435,-751.15,237.29,610.00,-11182.50,5110.00,-1225.00
2024-03-01 20:14:35.091039,83,72,422,-751.15,234.12,611.10,-6300.00,6877.50,1050.00
2024-03-01 20:14:35.094577,88,71,426,-750.91,233.75,609.51,-3587.50,6037.50,1050.00
2024-03-01 20:14:35.108558,93,74,436,-750.79,232.90,608.41,-2310.00,5355.00,910.00
2024-03-01 20:14:35.114629,100,74,422,-751.15,231.07,607.56,-1452.50,5372.50,1680.00
2024-03-01 20:14:35.127108,108,77,409,-752.25,227.77,606.95,-2870.00,5582.50,3482.50
2024-03-01 20:14:35.132240,119,81,416,-754.20,220.58,609.02,-752.50,8872.50,9555.00
2024-03-01 20:14:35.144665,129,83,415,-754.81,215.09,609.15,1102.50,12407.50,17377.50
2024-03-01 20:14:35.150120,141,88,420,-754.33,215.70,605.61,157.50,10552.50,17027.50
2024-03-01 20:14:35.163362,155,92,426,-753.84,216.55,603.17,3342.50,7612.50,12390.00
2024-03-01 20:14:35.168631,167,98,428,-753.59,212.89,605.00,13650.00,6615.00,10710.00
2024-03-01 20:14:35.181692,176,104,438,-753.35,206.42,610.49,25147.50,9030.00,13212.50
2024-03-01 20:14:35.186836,184,110,436,-754.94,202.15,615.37,32287.50,11970.00,16520.00
2024-03-01 20:14:35.199952,190,117,450,-761.40,213.38,611.83,35035.00,14577.50,10657.50
2024-03-01 20:14:35.208991,193,119,484,-772.26,247.78,589.75,25305.00,2432.50,-25970.00
