Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-03-01 20:20:31.539891,153,94,507,-818.38,205.45,529.36,18900.00,6002.50,-35087.50
2024-03-01 20:20:31.544902,153,94,487,-816.91,197.88,529.97,21490.00,9957.50,-34947.50
2024-03-01 20:20:31.553590,154,94,479,-823.99,182.39,520.33,35210.00,1067.50,-21000.00
2024-03-01 20:20:31.556612,154,93,0,-834.97,171.41,514.72,27930.00,-6317.50,-7105.00
2024-03-01 20:20:31.567067,153,93,474,-840.21,173.36,517.89,8942.50,1400.00,192.50
2024-03-01 20:20:31.580544,153,93,463,-841.31,175.80,519.11,-5565.00,5355.00,2450.00
2024-03-01 20:20:31.585559,152,92,446,-841.92,171.41,518.50,-3622.50,9170.00,7717.50
2024-03-01 20:20:31.599173,152,92,438,-841.80,166.16,515.82,6615.00,10237.50,13860.00
2024-03-01 20:20:31.606558,150,91,0,-841.07,165.43,514.60,6755.00,12635.00,20212.50
2024-03-01 20:20:31.611798,149,91,445,-840.09,166.04,516.18,-5722.50,16695.00,30100.00
2024-03-01 20:20:31.622234,147,91,430,-838.87,161.77,522.16,-15662.50,24920.00,45885.00
2024-03-01 20:20:31.634381,145,90,412,-836.68,156.65,528.38,-22872.50,33005.00,62492.50
2024-03-01 20:20:31.640384,142,89,428,-833.75,157.01,528.50,-21700.00,35875.00,69755.00
2024-03-01 20:20:31.651902,139,88,422,-832.77,161.28,523.01,-17605.00,32497.50,65135.00
2024-03-01 20:20:31.657532,135,87,424,-834.48,166.04,517.16,-15627.50,27440.00,55142.50
2024-03-01 20:20:31.670716,129,85,423,-837.65,176.17,509.96,-13545.00,21105.00,38710.00
2024-03-01 20:20:31.676664,124,83,0,-841.56,188.98,500.93,-12320.00,11917.50,15365.00
2024-03-01 20:20:31.689124,120,83,420,-843.75,181.54,502.27,-3447.50,6090.00,262.50
2024-03-01 20:20:31.693688,115,80,417,-845.46,174.22,503.86,15067.50,11025.00,5670.00
2024-03-01 20:20:31.707248,110,75,0,-847.78,187.39,489.22,6912.50,-3062.50,-15382.50
2024-03-01 20:20:31.715574,105,76,417,-850.58,200.81,477.26,7560.00,-15960.00,-38587.50
2024-03-01 20:20:31.720564,101,74,411,-853.76,211.43,472.02,15925.00,-22137.50,-60865.00
