Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-03-01 20:18:34.601572,160,96,653,-786.29,244.73,552.17,5547.50,840.00,-2362.50
2024-03-01 20:18:34.610091,160,97,565,-785.92,244.98,553.15,5792.50,1557.50,-2327.50
2024-03-01 20:18:34.613971,161,97,600,-785.44,246.93,553.27,4987.50,2012.50,-3307.50
2024-03-01 20:18:34.618330,163,97,546,-784.95,249.61,552.78,3220.00,1855.00,-4935.00
2024-03-01 20:18:34.625994,163,97,500,-785.19,250.34,550.95,1767.50,892.50,-5897.50
2024-03-01 20:18:34.630771,164,98,485,-785.80,250.22,549.61,735.00,-1277.50,-5372.50
2024-03-01 20:18:34.633166,164,98,470,-786.41,250.34,549.98,980.00,-1417.50,-6247.50
2024-03-01 20:18:34.642376,165,98,466,-786.66,249.49,550.46,1400.00,-1470.00,-6247.50
2024-03-01 20:18:34.646730,165,98,461,-786.78,248.76,550.46,2870.00,-1487.50,-6422.50
2024-03-01 20:18:34.649921,165,98,450,-786.41,247.90,549.98,1750.00,-1820.00,-7297.50
2024-03-01 20:18:34.658184,165,99,446,-786.05,246.68,550.46,4707.50,-1732.50,-7210.00
2024-03-01 20:18:34.663288,164,98,453,-786.66,245.71,550.22,11252.50,-1172.50,-6930.00
2024-03-01 20:18:34.667502,162,97,448,-787.88,247.54,548.27,10780.00,-3430.00,-8452.50
2024-03-01 20:18:34.675493,159,94,0,-788.85,250.71,547.54,9135.00,-5057.50,-12057.50
2024-03-01 20:18:34.679263,154,96,435,-789.58,251.56,549.00,6177.50,-4322.50,-13702.50
2024-03-01 20:18:34.687610,148,94,430,-789.58,249.12,550.95,4690.00,-2590.00,-12145.00
2024-03-01 20:18:34.691302,143,93,426,-788.97,245.46,553.15,8085.00,17.50,-7140.00
2024-03-01 20:18:34.695519,137,90,420,-788.49,248.39,552.78,6492.50,2292.50,-3062.50
2024-03-01 20:18:34.699996,132,88,0,-788.24,252.78,547.29,-7857.50,-87.50,-6282.50
2024-03-01 20:18:34.704294,125,85,414,-788.61,237.29,556.69,7665.00,6335.00,8592.50
2024-03-01 20:18:34.712300,120,82,423,-788.73,211.06,581.45,31290.00,30712.50,43137.50
2024-03-01 20:18:34.716384,113,80,427,-785.44,199.71,594.99,38447.50,50995.00,71435.00
2024-03-01 20:18:34.723647,107,75,434,-778.60,203.98,591.82,30450.00,56402.50,85662.50
2024-03-01 20:18:34.728404,101,72,428,-770.55,211.18,581.70,24955.00,52832.50,90282.50
2024-03-01 20:18:34.732647,97,70,0,-764.45,214.96,572.67,29190.00,47845.00,93187.50
2024-03-01 20:18:34.736467,95,68,440,-762.13,220.33,564.25,30170.00,41072.50,88917.50
2024-03-01 20:18:34.743347,94,67,444,-766.04,236.80,552.90,30607.50,32392.50,74707.50
2024-03-01 20:18:34.749231,93,66,0,-776.41,263.64,537.90,17150.00,18830.00,41842.50
2024-03-01 20:18:34.761297,93,67,423,-786.90,273.65,529.97,14175.00,5827.50,10272.50
2024-03-01 20:18:34.766984,94,66,429,-790.56,257.91,533.75,43207.50,6702.50,8172.50
2024-03-01 20:18:34.779293,95,65,435,-791.17,258.27,525.33,37870.00,157.50,7630.00
2024-03-01 20:18:34.785474,96,66,428,-794.71,280.97,507.15,-2047.50,-19267.50,-16240.00
2024-03-01 20:18:34.797982,99,67,433,-800.32,297.31,499.83,-17307.50,-30380.00,-39147.50
2024-03-01 20:18:34.804994,103,67,418,-805.20,308.90,494.34,-30257.50,-37380.00,-59132.50
2024-03-01 20:18:34.817114,108,68,423,-808.62,317.44,487.39,-42140.00,-46410.00,-77980.00
2024-03-01 20:18:34.825564,114,70,414,-812.15,318.42,487.15,-41842.50,-49122.50,-91910.00
2024-03-01 20:18:34.829293,120,72,422,-816.67,310.37,497.15,-24325.00,-40040.00,-93502.50
2024-03-01 20:18:34.842355,126,75,420,-821.30,298.29,508.86,-3290.00,-22382.50,-84192.50
2024-03-01 20:18:34.848336,134,77,409,-821.67,282.43,511.91,17867.50,-8785.00,-65327.50
2024-03-01 20:18:34.860595,142,81,414,-816.79,267.67,509.96,44415.00,35.00,-33845.00
2024-03-01 20:18:34.865984,150,85,410,-811.06,267.67,504.23,32742.50,5180.00,-8907.50
2024-03-01 20:18:34.878426,157,83,0,-806.91,271.45,500.44,11462.50,8750.00,6545.00
2024-03-01 20:18:34.883788,163,94,419,-804.96,265.96,506.06,9345.00,17885.00,25917.50
2024-03-01 20:18:34.896845,168,97,0,-804.47,259.98,514.47,11882.50,30642.50,44625.00
2024-03-01 20:18:34.902617,172,102,414,-803.74,254.86,520.94,11305.00,40932.50,57417.50
2024-03-01 20:18:34.915607,175,106,412,-802.03,246.20,526.19,17027.50,49385.00,68845.00
2024-03-01 20:18:34.921237,177,109,420,-798.61,240.34,530.33,26460.00,53480.00,76895.00
2024-03-01 20:18:34.933063,178,112,418,-792.39,245.95,531.92,27405.00,53970.00,77700.00
2024-03-01 20:18:34.939005,178,113,427,-785.07,267.18,525.82,12880.00,46357.50,67427.50
2024-03-01 20:18:34.950707,177,116,414,-780.43,295.00,518.01,-6650.00,33215.00,47355.00
2024-03-01 20:18:34.955660,175,117,418,-778.60,314.39,515.21,-18725.00,22067.50,27370.00
2024-03-01 20:18:34.969447,173,118,416,-778.36,318.18,520.09,-12775.00,16030.00,14455.00
2024-03-01 20:18:34.975306,169,120,415,-777.51,311.83,529.97,5127.50,16922.50,12547.50
2024-03-01 20:18:34.987686,164,120,413,-774.70,305.73,535.70,20755.00,18025.00,14805.00
2024-03-01 20:18:34.993635,158,121,407,-771.28,305.00,534.85,31640.00,16135.00,17710.00
2024-03-01 20:18:35.005610,153,122,411,-769.82,313.54,530.09,39462.50,11655.00,14857.50
2024-03-01 20:18:35.010485,145,120,0,-768.84,330.13,519.35,39270.00,4550.00,4830.00
2024-03-01 20:18:35.022349,139,120,0,-767.87,348.55,503.74,23432.50,-7175.00,-5915.00
2024-03-01 20:18:35.029543,134,124,397,-769.45,361.24,494.10,9397.50,-14350.00,-13090.00
2024-03-01 20:18:35.041844,127,124,402,-775.19,366.49,490.44,-4060.00,-11900.00,-16310.00
2024-03-01 20:18:35.049052,121,131,0,-784.22,362.95,485.68,-18672.50,-6632.50,-15610.00
2024-03-01 20:18:35.060402,116,124,416,-794.71,349.65,478.73,-24185.00,-892.50,-11147.50
2024-03-01 20:18:35.065982,113,123,0,-804.96,331.35,466.77,-23450.00,-70.00,-2765.00
2024-03-01 20:18:35.076684,110,123,412,-815.69,314.76,458.84,-15872.50,-630.00,1277.50
2024-03-01 20:18:35.082170,107,111,0,-826.18,305.24,457.74,4602.50,4147.50,1435.00
2024-03-01 20:18:35.094121,105,122,422,-833.26,305.98,454.21,19652.50,5057.50,-3570.00
2024-03-01 20:18:35.100502,104,122,419,-836.43,312.81,450.42,27650.00,3815.00,-10272.50
2024-03-01 20:18:35.111653,103,121,419,-836.92,320.25,448.59,32340.00,3412.50,-15715.00
2024-03-01 20:18:35.124618,102,120,425,-836.43,326.84,448.11,34790.00,4340.00,-19425.00
2024-03-01 20:18:35.132681,102,119,426,-834.97,331.84,448.47,34895.00,5950.00,-20737.50
