Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-03-01 20:14:45.408333,152,103,510,-736.27,93.94,669.66,22347.50,490.00,-29785.00
2024-03-01 20:14:45.413241,154,103,516,-736.64,95.77,667.83,18095.00,-1330.00,-35367.50
2024-03-01 20:14:45.426700,156,103,504,-736.15,92.96,667.58,16187.50,-1365.00,-36452.50
2024-03-01 20:14:45.432470,158,104,470,-735.42,86.62,668.32,16187.50,-647.50,-32567.50
2024-03-01 20:14:45.444836,160,104,461,-734.81,78.81,668.68,7892.50,175.00,-24920.00
2024-03-01 20:14:45.448957,162,103,488,-735.29,69.66,667.71,10535.00,1645.00,-12250.00
2024-03-01 20:14:45.456705,164,106,0,-736.64,74.91,660.75,9642.50,1610.00,-4235.00
2024-03-01 20:14:45.469820,164,104,457,-739.69,65.88,660.63,7315.00,507.50,2555.00
2024-03-01 20:14:45.475869,165,104,439,-742.25,27.45,675.64,58957.50,14735.00,49297.50
2024-03-01 20:14:45.487433,165,104,436,-741.27,8.30,686.13,74340.00,27597.50,89005.00
2024-03-01 20:14:45.493067,165,104,438,-737.49,12.20,687.23,66622.50,32480.00,105892.50
2024-03-01 20:14:45.506886,164,104,448,-730.17,15.86,687.10,54792.50,34597.50,117495.00
2024-03-01 20:14:45.512278,162,104,0,-720.78,14.76,687.10,46077.50,36137.50,130882.50
2024-03-01 20:14:45.524853,158,106,0,-712.85,12.44,686.37,42507.50,37065.00,139055.00
2024-03-01 20:14:45.530959,153,103,427,-710.04,22.08,680.39,35052.50,35665.00,135747.50
2024-03-01 20:14:45.542964,146,103,426,-715.53,51.61,666.24,16870.00,25760.00,104055.00
2024-03-01 20:14:45.548400,140,101,424,-727.00,80.76,651.36,11445.00,14945.00,61285.00
2024-03-01 20:14:45.560498,132,100,0,-736.15,84.67,642.82,21700.00,6125.00,26827.50
2024-03-01 20:14:45.565014,126,99,419,-741.64,67.83,646.97,56052.50,7612.50,27562.50
2024-03-01 20:14:45.577797,117,97,428,-745.42,76.74,645.87,59482.50,8487.50,20510.00
2024-03-01 20:14:45.583586,107,97,0,-748.59,122.98,625.49,23327.50,-10412.50,-24990.00
2024-03-01 20:14:45.594972,99,93,428,-752.98,170.56,606.22,-3972.50,-30467.50,-78662.50
2024-03-01 20:14:45.607474,90,90,433,-755.30,198.86,597.31,-20230.00,-43155.00,-123060.00
2024-03-01 20:14:45.615856,81,88,438,-753.72,212.89,592.31,-15627.50,-49892.50,-154210.00
2024-03-01 20:14:45.619978,74,87,436,-750.54,217.04,588.53,-18620.00,-54757.50,-174807.50
2024-03-01 20:14:45.632432,68,84,0,-750.54,204.59,592.19,-18567.50,-48002.50,-168070.00
2024-03-01 20:14:45.640041,63,82,513,-754.57,173.61,605.12,-1890.00,-26810.00,-123655.00
2024-03-01 20:14:45.651029,60,82,439,-757.13,142.98,618.05,27335.00,-4777.50,-58310.00
2024-03-01 20:14:45.656705,58,79,0,-757.62,142.01,617.32,18532.50,2747.50,-15960.00
2024-03-01 20:14:45.666662,58,82,425,-760.67,154.94,608.66,1225.00,3062.50,-3832.50
2024-03-01 20:14:45.679817,58,96,0,-766.04,150.67,608.05,8820.00,7997.50,15697.50
2024-03-01 20:14:45.686622,59,80,0,-770.06,144.20,609.51,22522.50,15680.00,36820.00
2024-03-01 20:14:45.692033,61,83,410,-772.02,138.23,610.49,24745.00,19827.50,50627.50
2024-03-01 20:14:45.703885,64,83,400,-769.09,125.90,615.73,33180.00,27685.00,75442.50
2024-03-01 20:14:45.713336,69,84,400,-759.33,121.63,618.78,32095.00,31797.50,95987.50
2024-03-01 20:14:45.720173,76,86,398,-747.25,119.07,623.30,17762.50,30485.00,107100.00
2024-03-01 20:14:45.732753,85,88,408,-734.56,115.17,632.81,3570.00,31902.50,119157.50
2024-03-01 20:14:45.739146,94,83,0,-724.19,127.37,640.01,-17570.00,27930.00,110880.00
2024-03-01 20:14:45.751659,106,91,0,-720.53,152.26,644.89,-30695.00,20527.50,79590.00
2024-03-01 20:14:45.757752,119,94,407,-721.51,172.14,650.38,-27282.50,13492.50,39917.50
2024-03-01 20:14:45.769995,130,96,400,-721.87,177.51,657.09,-14805.00,8067.50,11672.50
2024-03-01 20:14:45.778256,145,100,409,-718.70,166.16,669.17,3780.00,8837.50,3062.50
2024-03-01 20:14:45.782303,156,103,417,-709.92,158.60,673.93,21997.50,11007.50,10115.00
2024-03-01 20:14:45.793665,165,105,423,-701.74,170.07,664.66,12565.00,-1242.50,1522.50
2024-03-01 20:14:45.804484,174,110,408,-700.28,180.44,658.80,2310.00,-9957.50,-9485.00
2024-03-01 20:14:45.810019,182,114,435,-702.96,183.98,656.12,3640.00,-12285.00,-15050.00
2024-03-01 20:14:45.822403,186,118,431,-708.33,188.61,648.19,2135.00,-16380.00,-22820.00
2024-03-01 20:14:45.828261,188,120,442,-719.80,189.22,640.13,5320.00,-16485.00,-27160.00
2024-03-01 20:14:45.838216,189,123,0,-733.22,185.44,634.03,11567.50,-7402.50,-17990.00
2024-03-01 20:14:45.850741,189,126,446,-742.98,187.15,623.54,6457.50,-3237.50,-10150.00
2024-03-01 20:14:45.857296,188,128,440,-751.52,192.76,611.34,-3745.00,-4690.00,-10290.00
2024-03-01 20:14:45.868644,185,142,0,-760.18,193.37,603.41,-5005.00,-3587.50,-9117.50
2024-03-01 20:14:45.873941,181,133,435,-767.87,190.69,599.87,2275.00,-192.50,-5372.50
2024-03-01 20:14:45.885986,177,135,427,-773.85,191.05,598.41,10080.00,3395.00,-4235.00
2024-03-01 20:14:45.890868,172,137,419,-778.48,196.42,597.80,16712.50,5547.50,-7892.50
2024-03-01 20:14:45.903188,166,142,0,-781.53,203.50,597.92,26792.50,8225.00,-13930.00
2024-03-01 20:14:45.910176,159,142,408,-781.78,209.35,597.07,32025.00,9240.00,-19967.50
2024-03-01 20:14:45.921672,152,144,406,-780.19,210.21,594.63,29802.50,7455.00,-23082.50
2024-03-01 20:14:45.927656,142,146,411,-777.14,204.11,593.16,27492.50,5705.00,-20037.50
2024-03-01 20:14:45.938977,134,147,401,-772.50,196.05,594.75,26932.50,4445.00,-12582.50
2024-03-01 20:14:45.945316,125,145,0,-767.14,189.59,598.04,27405.00,3797.50,-6072.50
2024-03-01 20:14:45.955648,114,148,406,-762.38,184.71,601.09,26337.50,2905.00,-997.50
2024-03-01 20:14:45.967654,103,149,402,-757.50,180.56,606.46,28000.00,3167.50,4007.50
2024-03-01 20:14:45.972130,95,148,404,-751.15,181.29,611.95,27090.00,3272.50,6982.50
2024-03-01 20:14:45.985634,87,147,407,-745.18,187.27,616.10,22767.50,1435.00,6527.50
2024-03-01 20:14:45.990573,81,147,411,-739.20,194.47,621.71,18602.50,1487.50,5320.00
2024-03-01 20:14:46.003473,76,147,415,-732.98,201.18,626.96,13527.50,665.00,4672.50
2024-03-01 20:14:46.010203,73,147,411,-728.58,207.40,631.23,8697.50,-227.50,4217.50
2024-03-01 20:14:46.022517,72,148,413,-727.24,213.01,634.64,4952.50,385.00,2502.50
2024-03-01 20:14:46.027758,71,147,407,-728.34,215.21,635.74,6790.00,2135.00,1190.00
2024-03-01 20:14:46.040246,70,146,401,-729.80,214.23,634.64,10132.50,2957.50,2082.50
2024-03-01 20:14:46.046048,70,147,0,-731.27,213.01,632.08,11340.00,2852.50,3307.50
2024-03-01 20:14:46.053199,70,147,399,-732.73,213.26,628.67,11760.00,2170.00,4270.00
2024-03-01 20:14:46.065833,71,145,0,-734.20,214.72,625.62,11672.50,1522.50,4375.00
2024-03-01 20:14:46.070586,71,143,450,-735.54,217.28,623.18,10587.50,1277.50,4200.00
2024-03-01 20:14:46.084013,72,142,401,-737.12,221.92,620.25,6597.50,962.50,3080.00
2024-03-01 20:14:46.089323,74,140,401,-739.44,226.80,618.05,1662.50,822.50,472.50
2024-03-01 20:14:46.102496,76,138,400,-742.00,229.48,617.08,962.50,1855.00,-1347.50
2024-03-01 20:14:46.108181,78,136,394,-743.96,230.46,614.76,1242.50,1960.00,-1942.50
2024-03-01 20:14:46.119984,81,134,400,-745.30,231.43,612.07,472.50,1575.00,-2135.00
2024-03-01 20:14:46.126265,83,132,395,-746.15,232.53,610.61,507.50,1102.50,-2450.00
2024-03-01 20:14:46.138266,86,130,0,-746.88,233.39,610.00,1347.50,1487.50,-2607.50
2024-03-01 20:14:46.142325,89,130,392,-747.13,234.12,609.51,1295.00,1662.50,-2887.50
2024-03-01 20:14:46.154302,91,130,385,-747.37,234.36,609.15,1225.00,1925.00,-2642.50
2024-03-01 20:14:46.166850,91,129,395,-747.86,233.39,608.78,122.50,2222.50,-2117.50
2024-03-01 20:14:46.172255,93,130,402,-748.59,231.92,608.41,-1015.00,2677.50,-1050.00
2024-03-01 20:14:46.185054,94,130,400,-749.32,231.92,607.80,-3360.00,3377.50,-297.50
2024-03-01 20:14:46.189929,94,132,399,-750.79,232.65,608.05,-4917.50,4445.00,-262.50
2024-03-01 20:14:46.203926,95,134,406,-752.37,232.04,610.00,-6737.50,7000.00,665.00
