Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-03-01 20:20:43.622543,157,89,493,-783.85,224.24,547.66,-9765.00,19197.50,-42507.50
2024-03-01 20:20:43.626314,158,89,0,-794.95,209.60,528.26,-4882.50,15522.50,-42035.00
2024-03-01 20:20:43.636659,158,89,0,-815.08,193.37,512.64,16047.50,-15172.50,-23765.00
2024-03-01 20:20:43.648093,159,88,478,-824.11,187.15,524.11,9432.50,-12355.00,-18252.50
2024-03-01 20:20:43.653963,159,87,488,-828.14,177.75,536.07,13632.50,-17.50,-11042.50
2024-03-01 20:20:43.664874,159,87,483,-829.84,174.34,538.02,13002.50,6440.00,-9922.50
2024-03-01 20:20:43.669684,160,87,482,-830.82,173.73,529.36,105.00,5302.50,-9467.50
2024-03-01 20:20:43.682630,159,87,463,-831.19,163.24,527.77,-22890.00,3202.50,-2730.00
2024-03-01 20:20:43.688715,160,87,460,-831.80,145.06,537.53,-27247.50,14857.50,21875.00
2024-03-01 20:20:43.699577,159,87,0,-831.31,137.37,543.63,-34387.50,24027.50,41965.00
2024-03-01 20:20:43.711276,158,86,0,-829.84,137.01,545.22,-37922.50,26792.50,52850.00
2024-03-01 20:20:43.717229,155,86,442,-827.89,140.91,545.10,-37467.50,28805.00,56297.50
2024-03-01 20:20:43.730046,153,85,425,-825.94,144.08,542.41,-38342.50,27405.00,55230.00
2024-03-01 20:20:43.736008,149,85,442,-823.87,138.84,539.36,-30747.50,25112.50,57417.50
2024-03-01 20:20:43.748389,146,83,430,-821.79,131.76,534.73,-15207.50,22330.00,61547.50
2024-03-01 20:20:43.757230,141,82,431,-821.67,128.10,528.99,-2607.50,16957.50,58292.50
2024-03-01 20:20:43.761431,137,81,440,-824.23,128.34,522.77,4970.00,11532.50,47915.00
2024-03-01 20:20:43.771545,133,79,422,-829.36,132.49,516.30,11182.50,5617.50,32865.00
2024-03-01 20:20:43.784613,128,78,0,-833.75,127.98,514.11,24377.50,3885.00,20527.50
2024-03-01 20:20:43.792562,125,77,444,-837.41,137.62,504.35,30870.00,-945.00,12775.00
2024-03-01 20:20:43.797368,120,75,444,-841.80,161.65,490.93,14962.50,-14332.50,-18112.50
2024-03-01 20:20:43.809642,115,73,428,-844.97,178.61,485.56,17045.00,-21385.00,-41492.50
2024-03-01 20:20:43.815907,112,71,427,-847.17,198.62,480.19,17132.50,-28805.00,-69650.00
2024-03-01 20:20:43.828908,108,70,417,-848.63,216.06,476.29,19635.00,-34702.50,-97982.50
2024-03-01 20:20:43.835379,105,69,424,-849.24,222.77,474.95,21892.50,-37432.50,-118702.50
2024-03-01 20:20:43.847511,103,67,433,-849.97,208.38,480.80,27615.00,-33407.50,-121415.00
2024-03-01 20:20:43.853878,102,67,392,-851.32,177.51,494.10,43435.00,-18637.50,-100152.50
2024-03-01 20:20:43.865049,101,65,415,-852.05,148.47,506.54,43312.50,-367.50,-59797.50
2024-03-01 20:20:43.870495,101,65,409,-850.22,134.93,510.57,18550.00,10465.00,-17972.50
2024-03-01 20:20:43.883120,101,65,417,-849.36,134.32,513.13,-18200.00,13912.50,8697.50
2024-03-01 20:20:43.889350,102,65,421,-848.88,122.85,524.60,-24797.50,28035.00,34422.50
2024-03-01 20:20:43.902046,105,67,415,-845.95,106.38,532.77,-13965.00,42262.50,68442.50
2024-03-01 20:20:43.910343,107,69,0,-843.02,94.67,535.09,-16152.50,48650.00,95375.00
2024-03-01 20:20:43.914292,112,69,420,-839.73,81.50,539.85,-4252.50,56682.50,120697.50
2024-03-01 20:20:43.926234,116,70,415,-834.11,73.93,545.34,31517.50,66430.00,135940.00
2024-03-01 20:20:43.932766,121,71,407,-826.92,79.06,543.51,60375.00,69895.00,134505.00
