Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-03-01 20:17:11.337044,152,87,494,-784.95,312.08,536.43,-8715.00,-3220.00,-14525.00
2024-03-01 20:17:11.349457,152,87,0,-789.34,305.24,544.73,-1837.50,3780.00,-3692.50
2024-03-01 20:17:11.355336,152,87,0,-791.41,278.04,578.89,28647.50,39655.00,31395.00
2024-03-01 20:17:11.368721,153,87,436,-786.05,252.78,601.46,35017.50,66727.50,68215.00
2024-03-01 20:17:11.374304,153,87,428,-773.72,236.68,605.24,34142.50,75127.50,93345.00
2024-03-01 20:17:11.386168,152,86,435,-761.77,225.70,602.44,24710.00,73815.00,107835.00
2024-03-01 20:17:11.392524,151,87,428,-756.28,222.65,593.77,21735.00,66675.00,107765.00
2024-03-01 20:17:11.404611,147,86,421,-758.47,233.51,577.91,23485.00,51520.00,90335.00
2024-03-01 20:17:11.413457,141,85,417,-767.99,257.66,558.76,27860.00,32637.50,55842.50
2024-03-01 20:17:11.417846,134,84,415,-776.65,270.84,548.02,29400.00,16905.00,21297.50
2024-03-01 20:17:11.428065,126,83,419,-781.29,279.87,535.58,28682.50,6492.50,5670.00
2024-03-01 20:17:11.440171,119,80,435,-785.07,299.63,514.35,9922.50,-15907.50,-18515.00
2024-03-01 20:17:11.446128,111,77,444,-788.97,314.76,499.96,6982.50,-33250.00,-42105.00
2024-03-01 20:17:11.458565,103,74,444,-792.15,325.13,489.10,16502.50,-46392.50,-62632.50
2024-03-01 20:17:11.465147,96,71,444,-794.46,337.94,475.07,23135.00,-62405.00,-84472.50
2024-03-01 20:17:11.475764,90,68,452,-797.27,353.80,459.70,24832.50,-80150.00,-111370.00
2024-03-01 20:17:11.482734,86,66,453,-803.61,365.39,453.11,38482.50,-86537.50,-132177.50
2024-03-01 20:17:11.495339,82,64,451,-808.37,363.80,461.04,33180.00,-71330.00,-132982.50
2024-03-01 20:17:11.503701,81,63,447,-804.47,341.23,479.70,16362.50,-41457.50,-98840.00
2024-03-01 20:17:11.508989,81,62,437,-798.86,312.69,494.95,3237.50,-10657.50,-40652.50
2024-03-01 20:17:11.517923,81,62,440,-799.71,294.02,503.62,-9800.00,7770.00,4760.00
