Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-03-01 20:15:47.874849,179,118,688,-722.12,247.66,616.59,-19267.50,20212.50,-18480.00
2024-03-01 20:15:47.883203,180,117,517,-731.02,237.78,609.88,-17955.00,14490.00,-14000.00
2024-03-01 20:15:47.886503,180,118,493,-741.64,227.16,604.63,-15382.50,7997.50,-8470.00
2024-03-01 20:15:47.891042,180,117,501,-752.50,218.26,601.58,-10307.50,4252.50,-5057.50
2024-03-01 20:15:47.895840,180,126,0,-761.28,211.06,598.29,-4620.00,507.50,-3972.50
2024-03-01 20:15:47.902133,180,117,496,-767.75,205.08,594.38,-647.50,-3762.50,-5250.00
2024-03-01 20:15:47.907006,180,116,488,-771.53,198.49,592.07,3150.00,-6475.00,-6387.50
2024-03-01 20:15:47.912011,178,116,473,-772.87,192.03,591.21,5512.50,-7455.00,-6335.00
2024-03-01 20:15:47.916230,177,117,0,-773.11,187.64,590.97,6755.00,-7490.00,-6737.50
2024-03-01 20:15:47.921981,173,114,455,-772.50,185.68,592.19,9152.50,-6650.00,-8365.00
2024-03-01 20:15:47.927954,169,112,449,-771.28,184.10,594.63,12267.50,-4672.50,-11340.00
2024-03-01 20:15:47.931996,163,110,442,-769.45,181.41,597.07,14997.50,-3097.50,-13002.50
2024-03-01 20:15:47.936543,156,107,452,-767.26,177.88,599.75,18427.50,-2380.00,-12302.50
2024-03-01 20:15:47.944666,147,103,0,-764.45,175.56,603.41,21507.50,-875.00,-10342.50
2024-03-01 20:15:47.947829,139,102,436,-761.28,175.68,607.07,21665.00,875.00,-8522.50
2024-03-01 20:15:47.952876,129,97,433,-757.50,179.10,610.73,20597.50,3045.00,-8592.50
2024-03-01 20:15:47.955624,121,95,433,-753.59,185.68,613.17,16712.50,5005.00,-12022.50
2024-03-01 20:15:47.960649,115,107,0,-749.81,193.74,614.15,12372.50,6055.00,-18147.50
2024-03-01 20:15:47.968669,107,90,421,-746.15,200.81,614.88,7910.00,6947.50,-25532.50
2024-03-01 20:15:47.972990,100,87,426,-742.74,204.47,616.83,7490.00,8260.00,-31255.00
2024-03-01 20:15:47.976962,95,85,0,-739.08,204.47,621.22,10167.50,12495.00,-34790.00
2024-03-01 20:15:47.985346,90,82,448,-735.42,202.28,627.20,15277.50,18532.50,-36347.50
2024-03-01 20:15:47.989665,87,82,444,-744.20,192.03,622.69,25760.00,25252.50,-34860.00
2024-03-01 20:15:47.993092,86,82,440,-759.57,183.73,606.95,47477.50,2590.00,-17710.00
2024-03-01 20:15:48.001687,85,82,436,-769.33,182.39,600.85,29627.50,-5635.00,-10587.50
2024-03-01 20:15:48.005736,85,82,443,-775.43,180.32,605.36,33040.00,1155.00,-4497.50
2024-03-01 20:15:48.009546,86,71,0,-777.38,176.41,604.75,23415.00,7297.50,-595.00
2024-03-01 20:15:48.013742,88,83,428,-779.95,161.41,599.26,23170.00,10482.50,13650.00
2024-03-01 20:15:48.021989,91,85,418,-783.85,137.98,599.14,21647.50,17867.50,43015.00
2024-03-01 20:15:48.025770,96,85,416,-786.05,109.80,612.44,19110.00,36662.50,84245.00
2024-03-01 20:15:48.031008,102,76,0,-782.39,82.11,631.59,16712.50,59255.00,126822.50
2024-03-01 20:15:48.038921,110,89,420,-772.87,62.71,643.55,15960.00,73325.00,156327.50
2024-03-01 20:15:48.042707,118,90,417,-761.89,59.29,642.70,30485.00,78242.50,168175.00
2024-03-01 20:15:48.046766,126,92,402,-755.67,74.54,629.52,33302.50,67865.00,152442.50
2024-03-01 20:15:48.051391,137,97,0,-755.18,101.38,615.37,32410.00,55405.00,127610.00
2024-03-01 20:15:48.058850,149,98,412,-758.35,140.06,599.87,20597.50,42910.00,94552.50
2024-03-01 20:15:48.062714,165,91,0,-762.99,179.58,577.43,6160.00,20650.00,50452.50
2024-03-01 20:15:48.067097,177,106,436,-767.62,193.61,577.79,17237.50,7822.50,27317.50
2024-03-01 20:15:48.076061,191,112,441,-770.06,207.40,582.55,40442.50,13772.50,17097.50
2024-03-01 20:15:48.079451,199,117,452,-769.33,245.71,556.69,18935.00,-10972.50,-18340.00
2024-03-01 20:15:48.082102,205,122,446,-767.38,277.79,538.02,2100.00,-39882.50,-56122.50
2024-03-01 20:15:48.087525,208,126,460,-764.70,300.12,532.53,4707.50,-54810.00,-84455.00
2024-03-01 20:15:48.096102,209,128,0,-761.52,323.67,523.01,4235.00,-74322.50,-119840.00
2024-03-01 20:15:48.099426,208,133,461,-759.08,342.82,511.06,3342.50,-89617.50,-152792.50
2024-03-01 20:15:48.104420,205,128,0,-759.08,352.58,500.20,-11655.00,-100695.00,-177957.50
2024-03-01 20:15:48.112323,200,139,460,-767.62,339.40,504.71,-22557.50,-85697.50,-174580.00
2024-03-01 20:15:48.115391,193,141,454,-783.36,293.90,535.34,32497.50,-41755.00,-123620.00
2024-03-01 20:15:48.120430,187,142,446,-798.00,252.78,564.62,80902.50,7927.50,-50872.50
2024-03-01 20:15:48.124052,178,142,0,-808.86,235.46,571.94,77525.00,35385.00,-6510.00
2024-03-01 20:15:48.133134,168,143,427,-812.40,212.28,581.33,81602.50,61355.00,34230.00
2024-03-01 20:15:48.136374,159,143,418,-805.69,192.27,581.70,66290.00,79380.00,71732.50
2024-03-01 20:15:48.143976,149,143,0,-797.15,190.32,565.96,22172.50,74200.00,88725.00
2024-03-01 20:15:48.149548,140,142,411,-788.73,190.08,560.71,2152.50,72047.50,97860.00
2024-03-01 20:15:48.162219,132,142,416,-777.38,176.66,565.71,9695.00,73360.00,109655.00
2024-03-01 20:15:48.167976,122,140,424,-762.87,163.11,575.84,8365.00,76160.00,129080.00
2024-03-01 20:15:48.180608,114,139,429,-748.84,180.07,577.67,-3902.50,71680.00,127837.50
2024-03-01 20:15:48.186648,105,136,437,-741.52,223.99,562.66,-17675.00,48457.50,93590.00
2024-03-01 20:15:48.198696,98,134,433,-738.47,256.93,555.34,-23170.00,24430.00,56840.00
2024-03-01 20:15:48.204665,94,133,433,-733.83,270.47,563.27,-15435.00,15207.50,39357.50
2024-03-01 20:15:48.216748,91,131,431,-727.00,285.97,564.25,-9240.00,6440.00,26775.00
2024-03-01 20:15:48.222231,88,128,444,-721.14,311.10,550.46,-9730.00,-12740.00,10430.00
2024-03-01 20:15:48.233434,87,127,441,-718.82,336.96,536.07,-12285.00,-32270.00,-11550.00
2024-03-01 20:15:48.239879,86,124,437,-721.14,352.58,523.50,-927.50,-48930.00,-33600.00
2024-03-01 20:15:48.252239,87,121,0,-735.90,352.82,518.01,227.50,-56350.00,-47180.00
2024-03-01 20:15:48.258651,88,118,432,-758.35,335.50,532.53,14822.50,-29697.50,-39392.50
2024-03-01 20:15:48.271072,90,114,0,-774.46,317.20,541.19,26705.00,542.50,-20212.50
2024-03-01 20:15:48.276355,93,111,434,-787.14,313.91,519.96,1155.00,2660.00,-14542.50
2024-03-01 20:15:48.289445,97,108,436,-802.03,304.63,502.15,-10342.50,-2590.00,-18025.00
2024-03-01 20:15:48.296119,102,104,418,-817.64,283.89,501.05,-1575.00,6492.50,-13370.00
2024-03-01 20:15:48.308264,107,101,0,-829.11,271.33,496.66,10972.50,11462.50,-11847.50
2024-03-01 20:15:48.316572,112,99,420,-835.58,271.45,489.95,23642.50,9887.50,-17255.00
2024-03-01 20:15:48.321248,115,98,413,-837.41,277.55,486.78,35542.50,9730.00,-25287.50
2024-03-01 20:15:48.331865,115,98,396,-833.75,281.82,485.80,36592.50,8015.00,-27807.50
2024-03-01 20:15:48.343185,116,98,396,-825.70,284.14,489.95,31815.00,6580.00,-23625.00
2024-03-01 20:15:48.349274,116,98,407,-815.94,288.90,497.03,27265.00,8942.50,-17990.00
2024-03-01 20:15:48.360844,117,99,412,-806.79,294.26,501.54,21892.50,8470.00,-13492.50
