Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-03-01 20:14:56.202493,158,90,661,-761.28,52.70,645.38,5512.50,-857.50,-3675.00
2024-03-01 20:14:56.206331,159,90,572,-762.99,50.51,643.92,5285.00,-2590.00,-1662.50
2024-03-01 20:14:56.210558,160,90,542,-763.96,47.09,642.45,4480.00,-5232.50,1452.50
2024-03-01 20:14:56.214899,161,91,524,-764.09,44.41,642.21,5092.50,-6142.50,4375.00
2024-03-01 20:14:56.223116,161,90,508,-763.72,45.14,642.70,3465.00,-5985.00,4322.50
2024-03-01 20:14:56.227207,162,92,0,-763.23,47.95,641.96,1697.50,-5897.50,1295.00
2024-03-01 20:14:56.230663,162,90,478,-762.62,50.75,641.11,2467.50,-6597.50,-1120.00
2024-03-01 20:14:56.235586,163,89,0,-762.01,51.97,640.99,2520.00,-6632.50,-2870.00
2024-03-01 20:14:56.242811,161,90,473,-761.40,51.61,641.84,3307.50,-6510.00,-2940.00
2024-03-01 20:14:56.247195,160,90,467,-761.28,52.83,642.57,2380.00,-6475.00,-3657.50
2024-03-01 20:14:56.250688,159,88,451,-761.28,55.63,642.82,3762.50,-6562.50,-6527.50
2024-03-01 20:14:56.255429,154,90,0,-760.43,57.58,644.04,4585.00,-6457.50,-9222.50
2024-03-01 20:14:56.263774,150,87,466,-758.60,57.58,646.48,7262.50,-4830.00,-10535.00
2024-03-01 20:14:56.267490,144,87,442,-755.91,58.07,648.55,9380.00,-2310.00,-11480.00
2024-03-01 20:14:56.272091,137,85,440,-752.74,59.54,649.65,7787.50,-472.50,-13440.00
2024-03-01 20:14:56.279907,129,83,435,-749.32,60.63,652.21,6807.50,2117.50,-16012.50
2024-03-01 20:14:56.283067,121,81,436,-745.66,60.39,654.77,7332.50,6230.00,-17955.00
2024-03-01 20:14:56.288226,114,79,0,-742.49,59.17,656.60,10185.00,9397.50,-18445.00
2024-03-01 20:14:56.296789,105,78,430,-739.32,59.29,659.17,11392.50,12652.50,-18392.50
2024-03-01 20:14:56.301027,97,75,435,-735.90,60.63,662.70,9100.00,15872.50,-18270.00
2024-03-01 20:14:56.304277,90,72,428,-735.17,61.85,663.56,4812.50,19950.00,-18445.00
2024-03-01 20:14:56.308599,83,69,434,-742.74,64.66,652.21,822.50,7647.50,-16835.00
2024-03-01 20:14:56.316538,78,68,443,-751.15,64.54,645.99,4165.00,-6387.50,-16380.00
2024-03-01 20:14:56.320714,73,66,415,-753.47,58.56,652.46,15977.50,-2852.50,-11165.00
2024-03-01 20:14:56.325425,71,65,419,-753.47,56.24,653.92,18042.50,490.00,-6055.00
2024-03-01 20:14:56.333579,69,65,411,-753.96,59.54,648.31,22925.00,-105.00,-3972.50
2024-03-01 20:14:56.336762,70,65,408,-754.20,61.00,638.55,23677.50,-4987.50,-3115.00
2024-03-01 20:14:56.341761,70,64,413,-755.42,46.85,639.04,35980.00,-5320.00,11515.00
2024-03-01 20:14:56.350231,70,64,414,-757.38,20.74,651.60,70297.50,6055.00,46217.50
2024-03-01 20:14:56.354088,72,65,409,-757.25,6.95,661.73,93852.50,18777.50,79660.00
2024-03-01 20:14:56.358108,76,64,396,-753.96,4.27,667.58,76422.50,26337.50,101097.50
2024-03-01 20:14:56.362717,80,65,398,-747.74,4.27,670.39,54670.00,31657.50,118825.00
2024-03-01 20:14:56.368341,87,65,400,-739.56,6.59,669.78,41282.50,32952.50,128677.50
2024-03-01 20:14:56.374820,95,67,0,-732.49,15.49,666.00,32830.00,31080.00,127627.50
